VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-06-01 08:00:20,2016-06-01 08:14:23,1,1.6,-73.9639434814,40.7575874329,1,N,-73.9636917114,40.7742958069,1,10.0,0.0,0.5,1.0,0.0,0.3,11.8
2,2016-06-01 08:00:20,2016-06-01 08:02:34,1,0.71,-73.96824646,40.7969207764,1,N,-73.962097168,40.8052253723,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2,2016-06-01 08:00:20,2016-06-01 08:23:26,2,2.57,-73.9563827515,40.7781982422,1,N,-73.9845275879,40.7546005249,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
2,2016-06-01 08:00:20,2016-06-01 08:27:51,5,6.01,-74.0099868774,40.705039978,1,N,-73.9726028442,40.7606811523,2,23.0,0.0,0.5,0.0,0.0,0.3,23.8
2,2016-06-01 08:00:20,2016-06-01 08:15:06,1,2.06,-73.9745788574,40.7857894897,1,N,-73.9548797607,40.7670898438,1,11.0,0.0,0.5,2.36,0.0,0.3,14.16
1,2016-06-01 08:00:21,2016-06-01 08:05:52,1,0.5,-73.9935760498,40.7523727417,1,N,-73.9886398315,40.7594718933,1,5.5,0.0,0.5,1.85,0.0,0.3,8.15
2,2016-06-01 08:00:21,2016-06-01 08:10:54,1,1.11,-73.9857559204,40.7354011536,1,N,-73.9748916626,40.7312965393,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56
2,2016-06-01 08:00:21,2016-06-01 08:09:45,1,1.46,-73.9804000854,40.7392616272,1,N,-73.9696578979,40.7574691772,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8
2,2016-06-01 08:00:21,2016-06-01 08:16:35,1,1.99,0.0,0.0,1,N,0.0,0.0,1,12.0,0.0,0.5,3.2,0.0,0.3,16.0
2,2016-06-01 08:00:21,2016-06-01 08:10:17,1,1.31,-73.9834976196,40.7660598755,1,N,-73.9668884277,40.7698783875,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8
1,2016-06-01 08:00:22,2016-06-01 08:08:56,1,0.7,-73.9555282593,40.7794494629,1,N,-73.9454345703,40.7742271423,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75
1,2016-06-01 08:00:22,2016-06-01 08:04:41,1,0.5,-73.9781112671,40.763671875,1,N,-73.9699020386,40.7601203918,1,4.5,0.0,0.5,1.05,0.0,0.3,6.35
1,2016-06-01 08:00:22,2016-06-01 08:07:11,1,1.3,-73.9835205078,40.7445640564,1,N,-74.0001525879,40.7428512573,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
2,2016-06-01 08:00:22,2016-06-01 08:07:05,3,1.54,-74.0077209473,40.7052764893,1,N,-74.0132980347,40.7150344849,1,7.5,0.0,0.5,2.08,0.0,0.3,10.38
